docname,topic,proportion
newsgroups:31,005,0.734476
newsgroups:31,000,0.186329
newsgroups:31,001,0.079195
newsgroups:66,000,1.0
newsgroups:101,000,0.49474
newsgroups:101,001,0.311486
newsgroups:101,002,0.193773
newsgroups:136,009,1.0
newsgroups:171,000,1.0
newsgroups:206,000,0.666668
newsgroups:206,003,0.211196
newsgroups:206,007,0.081108
newsgroups:206,002,0.041028
newsgroups:241,002,1.0
newsgroups:276,008,1.0
newsgroups:311,000,1.0
newsgroups:346,016,0.48242
newsgroups:346,001,0.320414
newsgroups:346,004,0.099114
newsgroups:346,002,0.098052
newsgroups:381,005,1.0
newsgroups:416,000,1.0
newsgroups:451,005,1.0
newsgroups:486,000,1.0
newsgroups:521,005,0.56536
newsgroups:521,006,0.318582
newsgroups:521,002,0.116058
newsgroups:556,005,1.0
newsgroups:591,002,1.0
newsgroups:626,000,1.0
newsgroups:661,000,1.0
newsgroups:696,005,0.425251
newsgroups:696,000,0.349693
newsgroups:696,017,0.225056
newsgroups:731,000,0.549273
newsgroups:731,005,0.397373
newsgroups:731,002,0.053355
newsgroups:766,006,0.613245
newsgroups:766,005,0.268065
newsgroups:766,002,0.11869
newsgroups:801,008,1.0
newsgroups:836,000,1.0
newsgroups:871,000,0.299742
newsgroups:871,001,0.182589
newsgroups:871,006,0.174854
newsgroups:871,005,0.173409
newsgroups:871,012,0.123572
newsgroups:871,003,0.034596
newsgroups:871,008,0.011237
newsgroups:906,007,1.0
newsgroups:941,005,1.0
newsgroups:976,012,1.0
newsgroups:1011,001,0.612249
newsgroups:1011,003,0.387751
newsgroups:1046,009,1.0
newsgroups:1081,009,1.0
newsgroups:1116,009,0.58714
newsgroups:1116,010,0.257663
newsgroups:1116,011,0.155197
newsgroups:1151,001,1.0
newsgroups:1186,009,1.0
newsgroups:1221,009,1.0
newsgroups:1256,009,1.0
newsgroups:1291,010,1.0
newsgroups:1326,010,1.0
newsgroups:1361,013,1.0
newsgroups:1396,010,1.0
newsgroups:1431,001,1.0
newsgroups:1466,004,1.0
newsgroups:1501,012,1.0
newsgroups:1536,009,1.0
newsgroups:1571,009,1.0
newsgroups:1606,001,1.0
newsgroups:1641,019,1.0
newsgroups:1676,009,1.0
newsgroups:1711,001,1.0
