topic,term,weight
000,people,0.031249465
000,thing,0.011662414
000,government,0.009718755
000,force,0.008121332
000,kill,0.0061739497
000,live,0.0060762335
000,associate,0.0047198944
000,gun,0.0049305563
000,law,0.0054926104
000,moral,0.0031718903
001,find,0.01760468
001,source,0.014296828
001,information,0.011412421
001,stuff,0.008886288
001,code,0.0071781985
001,delete,0.00703004
001,site,0.0064910683
001,ftp,0.006599458
001,image,0.0063008294
001,advance,0.006281033
002,year,0.030741226
002,team,0.013116314
002,ago,0.009255753
002,beat,0.00616301
002,win,0.00742024
002,player,0.006045291
002,play,0.0062755197
002,league,0.0041338913
002,game,0.0087308595
002,season,0.004178224
003,work,0.02816968
003,bike,0.010102897
003,bite,0.00881922
003,machine,0.007426689
003,modem,0.0056794547
003,suppose,0.004589184
003,port,0.004801761
003,universe,0.0036073292
003,version,0.004479929
003,accurately,0.0033562316
004,program,0.017818723
004,disk,0.017928828
004,read,0.01892002
004,run,0.01132092
004,mac,0.008810924
004,pc,0.008846928
004,book,0.009300427
004,write,0.007873488
004,speed,0.0071517834
004,copy,0.0071620797
005,christian,0.018520938
005,jesus,0.014877273
005,koresh,0.011494211
005,david,0.010373117
005,people,0.010430902
005,claim,0.007595379
005,church,0.007403936
005,christ,0.0066591897
005,bible,0.0065448335
005,religion,0.005742219
006,book,0.029388594
006,read,0.024425091
006,church,0.014475984
006,christian,0.011715248
006,randism,0.008953023
006,write,0.00953179
006,disk,0.011010578
006,jesus,0.007290259
006,article,0.00742304
006,bible,0.0062677837
007,sell,0.028360484
007,price,0.019597039
007,offer,0.018535784
007,ship,0.01653594
007,include,0.015307695
007,pay,0.010387826
007,condition,0.0099190045
007,email,0.010426565
007,buy,0.010714983
007,interest,0.010497453
008,post,0.02797955
008,day,0.020586897
008,article,0.018675867
008,read,0.021034261
008,delete,0.012547803
008,stuff,0.011237217
008,group,0.011131003
008,think,0.009087906
008,lot,0.007835633
008,reply,0.0073521975
009,file,0.06642912
009,format,0.0237926
009,program,0.018212225
009,window,0.020354705
009,convert,0.013218179
009,gif,0.012173984
009,find,0.01451875
009,image,0.011724538
009,directory,0.010103613
009,ftp,0.008855452
010,card,0.05966038
010,video,0.026520258
010,monitor,0.025835149
010,driver,0.02361069
010,color,0.01829195
010,vga,0.013110054
010,bus,0.010659172
010,mode,0.010510042
010,graphic,0.010644254
010,window,0.016313631
011,problem,0.05374306
011,year,0.029470146
011,monitor,0.018098721
011,fix,0.013183013
011,ago,0.009524289
011,file,0.013659668
011,time,0.009682179
011,uhc,0.0055998466
011,print,0.0066128667
011,change,0.006456243
012,make,0.05192151
012,break,0.014897189
012,promise,0.0146741485
012,thing,0.012088433
012,sense,0.009776495
012,begin,0.008070485
012,abortion,0.00803949
012,illegal,0.006972088
012,offer,0.008063546
012,wrong,0.0071053337
013,window,0.090770274
013,run,0.035553154
013,program,0.01898924
013,ms,0.016227068
013,application,0.013413436
013,manager,0.010756872
013,server,0.010216209
013,not,0.008930279
013,display,0.009277276
013,file,0.014120201
014,bike,0.042868886
014,ride,0.021175755
014,good,0.02208406
014,work,0.02323889
014,buy,0.014353118
014,motorcycle,0.012460368
014,drive,0.016636277
014,dod,0.008237988
014,mile,0.0073669488
014,think,0.008693788
015,game,0.08653161
015,play,0.024335682
015,team,0.019216286
015,show,0.01753881
015,win,0.015587599
015,score,0.013995474
015,baseball,0.01326076
015,player,0.013455871
015,hockey,0.010820449
015,espn,0.010217466
016,question,0.046136484
016,answer,0.035184458
016,time,0.023666685
016,reply,0.017035566
016,faq,0.012042904
016,hear,0.012151467
016,original,0.010655728
016,post,0.010890925
016,christian,0.010227298
016,black,0.00821272
017,key,0.06818886
017,chip,0.023919035
017,encryption,0.012781997
017,send,0.013689391
017,clipper,0.011971612
017,government,0.012006308
017,escrow,0.010119394
017,encrypt,0.010057272
017,system,0.012380932
017,bite,0.011612436
018,drive,0.11671323
018,hard,0.028295774
018,scsi,0.026056815
018,disk,0.021410879
018,floppy,0.015763517
018,controller,0.015438176
018,shaft,0.011400335
018,wheelie,0.010255929
018,cd,0.010316414
018,motorcycle,0.010205895
019,numb,0.062352184
019,call,0.045438893
019,phone,0.03830349
019,dial,0.01730588
019,bbs,0.0152027225
019,line,0.014968866
019,support,0.013288508
019,give,0.012877009
019,leg,0.010868006
019,tech,0.010744689
